algorithm,n,type,domain,sample,time_ms,memory_kb
naive,16,dispersa,D0,a,0.015782,3268
strassen,16,dispersa,D0,a,0.007262,3528
naive,16,dispersa,D0,b,0.009009,3528
strassen,16,dispersa,D0,b,0.007123,3528
naive,16,dispersa,D0,c,0.008031,3528
strassen,16,dispersa,D0,c,0.007123,3528
naive,16,dispersa,D10,a,0.008729,3528
strassen,16,dispersa,D10,a,0.005726,3528
naive,16,dispersa,D10,b,0.006565,3528
strassen,16,dispersa,D10,b,0.005656,3528
naive,16,dispersa,D10,c,0.007612,3528
strassen,16,dispersa,D10,c,0.006565,3528
naive,16,diagonal,D0,a,0.009008,3528
strassen,16,diagonal,D0,a,0.006145,3528
naive,16,diagonal,D0,b,0.008031,3528
strassen,16,diagonal,D0,b,0.005168,3528
naive,16,diagonal,D0,c,0.007262,3528
strassen,16,diagonal,D0,c,0.005797,3528
naive,16,diagonal,D10,a,0.008031,3528
strassen,16,diagonal,D10,a,0.007263,3528
naive,16,diagonal,D10,b,0.007612,3528
strassen,16,diagonal,D10,b,0.026048,3528
naive,16,diagonal,D10,c,0.010125,3528
strassen,16,diagonal,D10,c,0.026677,3528
naive,16,densa,D0,a,0.01243,3528
strassen,16,densa,D0,a,0.04183,3528
naive,16,densa,D0,b,0.011452,3528
strassen,16,densa,D0,b,0.031914,3528
naive,16,densa,D0,c,0.010614,3528
strassen,16,densa,D0,c,0.028562,3528
naive,16,densa,D10,a,0.044623,3528
strassen,16,densa,D10,a,0.031494,3528
naive,16,densa,D10,b,0.010545,3528
strassen,16,densa,D10,b,0.028561,3528
naive,16,densa,D10,c,0.010894,3528
strassen,16,densa,D10,c,0.029539,3528
naive,64,dispersa,D0,a,0.325701,3528
strassen,64,dispersa,D0,a,0.250142,3528
naive,64,dispersa,D0,b,0.248466,3528
strassen,64,dispersa,D0,b,0.253354,3528
naive,64,dispersa,D0,c,0.232264,3528
strassen,64,dispersa,D0,c,0.245743,3528
naive,64,dispersa,D10,a,0.226608,3528
strassen,64,dispersa,D10,a,0.323885,3528
naive,64,dispersa,D10,b,0.201887,3528
strassen,64,dispersa,D10,b,0.2132,3528
naive,64,dispersa,D10,c,0.190155,3528
strassen,64,dispersa,D10,c,0.248605,3528
naive,64,diagonal,D0,a,0.19253,3528
strassen,64,diagonal,D0,a,0.247768,3528
naive,64,diagonal,D0,b,0.268857,3528
strassen,64,diagonal,D0,b,0.259429,3528
naive,64,diagonal,D0,c,0.275281,3528
strassen,64,diagonal,D0,c,0.23848,3528
naive,64,diagonal,D10,a,0.210895,3528
strassen,64,diagonal,D10,a,0.211314,3528
naive,64,diagonal,D10,b,0.20489,3528
strassen,64,diagonal,D10,b,0.210756,3528
naive,64,diagonal,D10,c,0.18848,3528
strassen,64,diagonal,D10,c,0.204192,3528
naive,64,densa,D0,a,0.209359,3528
strassen,64,densa,D0,a,0.230449,3528
naive,64,densa,D0,b,0.189037,3528
strassen,64,densa,D0,b,0.223744,3528
naive,64,densa,D0,c,0.215016,3528
strassen,64,densa,D0,c,0.213828,3528
naive,64,densa,D10,a,0.194624,3528
strassen,64,densa,D10,a,0.256566,3528
naive,64,densa,D10,b,0.222837,3528
strassen,64,densa,D10,b,0.226608,3528
naive,64,densa,D10,c,0.23401,3528
strassen,64,densa,D10,c,0.218577,3528
naive,256,dispersa,D0,a,12.4526,4296
strassen,256,dispersa,D0,a,14.9787,5576
naive,256,dispersa,D0,b,12.4489,5576
strassen,256,dispersa,D0,b,16.8382,5576
naive,256,dispersa,D0,c,12.7775,5576
strassen,256,dispersa,D0,c,13.1023,5576
naive,256,dispersa,D10,a,12.1461,5576
strassen,256,dispersa,D10,a,16.5659,5576
naive,256,dispersa,D10,b,11.8225,5576
strassen,256,dispersa,D10,b,12.4947,5576
naive,256,dispersa,D10,c,12.6327,5576
strassen,256,dispersa,D10,c,12.8337,5576
naive,256,diagonal,D0,a,12.1262,5576
strassen,256,diagonal,D0,a,15.3748,5576
naive,256,diagonal,D0,b,12.9409,5576
strassen,256,diagonal,D0,b,12.5025,5576
naive,256,diagonal,D0,c,12.1423,5576
