algorithm,n,type,domain,sample,time_ms,memory_kb
std_sort,10,ascendente,D1,a,0.002933,3348
mergesort,10,ascendente,D1,a,0.003701,3608
quicksort,10,ascendente,D1,a,0.021511,3608
patiencesort,10,ascendente,D1,a,0.01341,3608
std_sort,10,ascendente,D1,b,0.002375,3608
mergesort,10,ascendente,D1,b,0.003283,3608
quicksort,10,ascendente,D1,b,0.002864,3608
patiencesort,10,ascendente,D1,b,0.005727,3608
std_sort,10,ascendente,D1,c,0.002375,3608
mergesort,10,ascendente,D1,c,0.003842,3608
quicksort,10,ascendente,D1,c,0.003841,3608
patiencesort,10,ascendente,D1,c,0.058736,3608
std_sort,10,ascendente,D7,a,0.001467,3608
mergesort,10,ascendente,D7,a,0.003771,3608
quicksort,10,ascendente,D7,a,0.004261,3608
patiencesort,10,ascendente,D7,a,0.012012,3608
std_sort,10,ascendente,D7,b,0.002863,3608
mergesort,10,ascendente,D7,b,0.005238,3608
quicksort,10,ascendente,D7,b,0.003353,3608
patiencesort,10,ascendente,D7,b,0.009498,3608
std_sort,10,ascendente,D7,c,0.001396,3608
mergesort,10,ascendente,D7,c,0.003841,3608
quicksort,10,ascendente,D7,c,0.012781,3608
patiencesort,10,ascendente,D7,c,0.007682,3608
std_sort,10,descendente,D1,a,0.001885,3608
mergesort,10,descendente,D1,a,0.003841,3608
quicksort,10,descendente,D1,a,0.003841,3608
patiencesort,10,descendente,D1,a,0.006146,3608
std_sort,10,descendente,D1,b,0.002445,3608
mergesort,10,descendente,D1,b,0.003353,3608
quicksort,10,descendente,D1,b,0.023746,3608
patiencesort,10,descendente,D1,b,0.003353,3608
std_sort,10,descendente,D1,c,0.001396,3608
mergesort,10,descendente,D1,c,0.002794,3608
quicksort,10,descendente,D1,c,0.002863,3608
patiencesort,10,descendente,D1,c,0.002375,3608
std_sort,10,descendente,D7,a,0.001885,3608
mergesort,10,descendente,D7,a,0.002374,3608
quicksort,10,descendente,D7,a,0.002864,3608
patiencesort,10,descendente,D7,a,0.003283,3608
std_sort,10,descendente,D7,b,0.001885,3608
mergesort,10,descendente,D7,b,0.002864,3608
quicksort,10,descendente,D7,b,0.014527,3608
patiencesort,10,descendente,D7,b,0.002934,3608
std_sort,10,descendente,D7,c,0.001886,3608
mergesort,10,descendente,D7,c,0.001956,3608
quicksort,10,descendente,D7,c,0.002863,3608
patiencesort,10,descendente,D7,c,0.003422,3608
std_sort,10,aleatorio,D1,a,0.002375,3608
mergesort,10,aleatorio,D1,a,0.002864,3608
quicksort,10,aleatorio,D1,a,0.013968,3608
patiencesort,10,aleatorio,D1,a,0.00468,3608
std_sort,10,aleatorio,D1,b,0.002374,3608
mergesort,10,aleatorio,D1,b,0.002934,3608
quicksort,10,aleatorio,D1,b,0.002933,3608
patiencesort,10,aleatorio,D1,b,0.004889,3608
std_sort,10,aleatorio,D1,c,0.001886,3608
mergesort,10,aleatorio,D1,c,0.003282,3608
quicksort,10,aleatorio,D1,c,0.007683,3608
patiencesort,10,aleatorio,D1,c,0.005168,3608
std_sort,10,aleatorio,D7,a,0.002305,3608
mergesort,10,aleatorio,D7,a,0.003283,3608
quicksort,10,aleatorio,D7,a,0.0132,3608
patiencesort,10,aleatorio,D7,a,0.005168,3608
std_sort,10,aleatorio,D7,b,0.002375,3608
mergesort,10,aleatorio,D7,b,0.002305,3608
quicksort,10,aleatorio,D7,b,0.018159,3608
patiencesort,10,aleatorio,D7,b,0.003771,3608
std_sort,10,aleatorio,D7,c,0.001816,3608
mergesort,10,aleatorio,D7,c,0.003283,3608
quicksort,10,aleatorio,D7,c,0.01348,3608
patiencesort,10,aleatorio,D7,c,0.006076,3608
std_sort,1000,ascendente,D1,a,0.014667,3608
mergesort,1000,ascendente,D1,a,0.044628,3608
quicksort,1000,ascendente,D1,a,0.032406,3608
patiencesort,1000,ascendente,D1,a,0.069631,3608
std_sort,1000,ascendente,D1,b,0.013829,3608
mergesort,1000,ascendente,D1,b,0.0396,3608
quicksort,1000,ascendente,D1,b,0.046374,3608
patiencesort,1000,ascendente,D1,b,0.058666,3608
std_sort,1000,ascendente,D1,c,0.01313,3608
mergesort,1000,ascendente,D1,c,0.050145,3608
quicksort,1000,ascendente,D1,c,0.042813,3608
patiencesort,1000,ascendente,D1,c,0.089886,3608
std_sort,1000,ascendente,D7,a,0.019556,3608
mergesort,1000,ascendente,D7,a,0.070609,3608
quicksort,1000,ascendente,D7,a,0.063416,3608
patiencesort,1000,ascendente,D7,a,0.358144,3608
std_sort,1000,ascendente,D7,b,0.017879,3608
mergesort,1000,ascendente,D7,b,0.058387,3608
quicksort,1000,ascendente,D7,b,0.086044,3608
patiencesort,1000,ascendente,D7,b,0.236621,3608
std_sort,1000,ascendente,D7,c,0.016762,3608
mergesort,1000,ascendente,D7,c,0.042114,3608
quicksort,1000,ascendente,D7,c,0.054825,3608
patiencesort,1000,ascendente,D7,c,0.21944,3608
std_sort,1000,descendente,D1,a,0.031987,3608
mergesort,1000,descendente,D1,a,0.051752,3608
quicksort,1000,descendente,D1,a,0.047212,3608
patiencesort,1000,descendente,D1,a,0.046584,3608
std_sort,1000,descendente,D1,b,0.013689,3608
mergesort,1000,descendente,D1,b,0.046724,3608
quicksort,1000,descendente,D1,b,0.030591,3608
patiencesort,1000,descendente,D1,b,0.044768,3608
std_sort,1000,descendente,D1,c,0.012502,3608
mergesort,1000,descendente,D1,c,0.054755,3608
quicksort,1000,descendente,D1,c,0.036737,3608
patiencesort,1000,descendente,D1,c,0.04393,3608
std_sort,1000,descendente,D7,a,0.016203,3608
mergesort,1000,descendente,D7,a,0.074939,3608
quicksort,1000,descendente,D7,a,0.057689,3608
patiencesort,1000,descendente,D7,a,0.04826,3608
std_sort,1000,descendente,D7,b,0.015156,3608
mergesort,1000,descendente,D7,b,0.081994,3608
quicksort,1000,descendente,D7,b,0.058596,3608
patiencesort,1000,descendente,D7,b,0.051403,3608
std_sort,1000,descendente,D7,c,0.013968,3608
mergesort,1000,descendente,D7,c,0.058736,3608
quicksort,1000,descendente,D7,c,0.057409,3608
patiencesort,1000,descendente,D7,c,0.045397,3608
std_sort,1000,aleatorio,D1,a,0.080108,3608
mergesort,1000,aleatorio,D1,a,0.093028,3608
quicksort,1000,aleatorio,D1,a,0.065301,3608
patiencesort,1000,aleatorio,D1,a,0.094565,3608
std_sort,1000,aleatorio,D1,b,0.038831,3608
mergesort,1000,aleatorio,D1,b,0.092609,3608
quicksort,1000,aleatorio,D1,b,0.066349,3608
patiencesort,1000,aleatorio,D1,b,0.09198,3608
std_sort,1000,aleatorio,D1,c,0.038133,3608
mergesort,1000,aleatorio,D1,c,0.106228,3608
